search_parameter,conditions,description,year,language,repos_by_lang_t1,repos_by_lang_t2,repos_by_lang_t3,repos_t2,issues_t2,users_t2,repos_t3,issues_t3,users_t3
created:2012-01-01..2012-12-31,fork:false,return repos not including forks,2012,Objective-C,25851,25883,25805,1268403,1887843,1291883,1263740,1883597,1290357
created:2012-01-01..2012-12-31,fork:false,return repos not including forks,2012,Shell,24005,23937,23885,1268403,1887843,1291883,1263740,1883597,1290357
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,Javascript,334401,331949,330316,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,Java,235455,233515,232556,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,Ruby,221145,217455,215803,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,PHP,154115,152966,152133,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,Python,148507,147764,147301,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,CSS,96300,95490,95051,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,C++,83002,82473,82165,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,C,77028,76596,76303,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,C#,57165,56743,56515,2614093,4053568,2542752,2596382,4026432,2538967
created:2013-01-01..2013-12-31,fork:false,return repos not including forks,2013,Objective-C,52684,52438,52233,2614093,4053568,2542752,2596382,4026432,2538967
created:2007-01-01..2007-12-31,fork:true,return repos including forks,2007,Ruby,2,2,2,2,973,3,2,973,3
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Ruby,12989,12989,12982,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Javascript,3017,3017,3012,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Python,1737,1737,1736,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,C,1124,1124,1122,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,PHP,892,892,890,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Perl,838,838,838,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,C++,835,835,835,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Java,691,691,691,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Objective-C,370,370,370,30605,3528,41543,30572,2081,41541
created:2008-01-01..2008-12-31,fork:true,return repos including forks,2008,Shell,177,177,176,30605,3528,41543,30572,2081,41541
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Ruby,35305,35305,35243,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Perl,27103,27103,27096,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Javascript,12985,12985,12964,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Python,10472,10472,10458,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,PHP,6054,6054,6045,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,C,5819,5819,5808,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Java,5214,5214,5206,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,C++,3907,3907,3902,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Objective-C,2789,2789,2783,150808,49314,122493,150591,48199,122469
created:2009-01-01..2009-12-31,fork:true,return repos including forks,2009,Emacs Lisp,2066,2066,2065,150808,49314,122493,150591,48199,122469
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Ruby,61204,61204,61083,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Javascript,38897,38897,38810,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Python,27030,27030,26994,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,PHP,20735,20735,20693,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Java,20048,20048,20027,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,C,14846,14846,14826,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,C++,9291,9291,9285,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Perl,8690,8690,8689,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,VimL,7324,7324,7318,310601,206332,339485,309992,205405,339416
created:2010-01-01..2010-12-31,fork:true,return repos including forks,2010,Objective-C,7174,7174,7163,310601,206332,339485,309992,205405,339416
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Ruby,134961,134958,134558,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Javascript,124190,124189,123826,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Python,73552,73552,73422,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Java,73475,73475,73300,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,PHP,62203,62203,62008,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,C,38211,38211,38128,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,C++,27797,27798,27740,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Objective-C,25129,25128,25065,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,Shell,17608,17608,17591,844419,839166,714581,842173,835536,714401
created:2011-01-01..2011-12-31,fork:true,return repos including forks,2011,C#,16796,16796,16735,844419,839166,714581,842173,835536,714401
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Javascript,392992,392988,391542,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Ruby,261626,261618,260686,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Java,202480,202476,201835,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Python,165751,165751,165351,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,PHP,156723,156723,156395,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,C,87012,87010,86753,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Objective-C,81576,81575,81292,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,C++,71244,71244,70989,2198902,1887843,1291883,2191068,1883597,1290357
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,C#,47629,47628,47479,2198902,1887843,1291883,2191068,1883597,1290357
