year,quarter,repository_language,pushes_by_lang
2012,3,ooc,456
2012,3,Dylan,424
2012,3,Gosu,424
2012,3,Nimrod,409
2012,3,AppleScript,359
2012,3,Opa,352
2012,3,Io,281
2012,3,Arc,209
2012,3,Bro,192
2012,3,Rebol,181
2012,3,Ioke,174
2012,3,Fancy,173
2012,3,Augeas,164
2012,3,Boo,161
2012,3,Logtalk,153
2012,3,Turing,146
2012,3,Nu,110
2012,3,Ceylon,100
2012,3,Self,84
2012,3,Fantom,62
2012,3,Max,60
2012,3,Mirah,16
2012,3,Ecl,7
2012,3,Max/MSP,7
2012,3,eC,6
2012,4,JavaScript,1268140
2012,4,Java,821089
2012,4,null,704029
2012,4,Ruby,684608
2012,4,PHP,605934
2012,4,Python,601549
2012,4,C,374023
2012,4,C++,364371
2012,4,Shell,193371
2012,4,C#,142767
2012,4,Objective-C,120823
2012,4,VimL,83101
2012,4,Perl,82032
2012,4,Scala,46169
2012,4,CoffeeScript,39693
2012,4,Emacs Lisp,35495
2012,4,Haskell,34768
2012,4,Lua,32143
2012,4,Go,28487
2012,4,Clojure,23327
2012,4,Erlang,18499
2012,4,R,18232
2012,4,Groovy,17551
2012,4,ActionScript,16627
2012,4,Puppet,15975
2012,4,OCaml,10154
2012,4,Matlab,9616
2012,4,D,8909
2012,4,Common Lisp,8053
2012,4,Arduino,5898
2012,4,Racket,5784
2012,4,Dart,5667
2012,4,Delphi,5355
2012,4,Assembly,5270
2012,4,Visual Basic,5087
2012,4,Scheme,4797
2012,4,ASP,4629
2012,4,FORTRAN,4298
2012,4,ColdFusion,3713
2012,4,HaXe,3682
2012,4,Rust,3563
2012,4,F#,3535
2012,4,PowerShell,3225
2012,4,Julia,3197
2012,4,Prolog,2577
2012,4,Verilog,2449
2012,4,VHDL,2055
2012,4,Elixir,1275
2012,4,Smalltalk,1238
2012,4,Tcl,1220
2012,4,OpenEdge ABL,1215
2012,4,Vala,1163
2012,4,Standard ML,1089
2012,4,Coq,1035
2012,4,Apex,928
2012,4,AutoHotkey,887
2012,4,Eiffel,767
2012,4,Ada,535
2012,4,Objective-J,532
2012,4,AppleScript,477
2012,4,Factor,447
2012,4,ooc,422
2012,4,XQuery,421
2012,4,Parrot,397
2012,4,DCPU-16 ASM,380
2012,4,SuperCollider,380
2012,4,Kotlin,378
2012,4,Pure Data,352
2012,4,Logtalk,332
2012,4,Boo,298
2012,4,Scilab,279
2012,4,Dylan,243
2012,4,Nemerle,193
2012,4,Opa,169
2012,4,Gosu,160
2012,4,Io,139
2012,4,Augeas,133
2012,4,Nu,131
2012,4,Arc,114
2012,4,Rebol,109
2012,4,Max,94
2012,4,Nimrod,91
2012,4,Ecl,77
2012,4,Ceylon,68
2012,4,Fancy,61
2012,4,Ioke,58
2012,4,Bro,54
2012,4,Turing,36
2012,4,Mirah,25
2012,4,Self,17
2012,4,Fantom,12
2012,4,eC,3
2013,1,JavaScript,1538494
2013,1,null,1449695
2013,1,Java,938286
2013,1,Ruby,762171
2013,1,PHP,688685
2013,1,Python,677220
2013,1,C++,428447
2013,1,C,422351
2013,1,Shell,239460
2013,1,Objective-C,169242
2013,1,C#,154027
2013,1,VimL,91266
2013,1,Perl,91101
2013,1,Scala,53165
2013,1,CoffeeScript,51682
2013,1,Emacs Lisp,42768
2013,1,Haskell,37364
2013,1,Lua,35130
2013,1,Go,31180
2013,1,Clojure,26671
2013,1,Matlab,22810
2013,1,R,22206
2013,1,Groovy,20045
2013,1,Erlang,18925
2013,1,Puppet,17007
2013,1,ActionScript,16389
2013,1,OCaml,9676
2013,1,D,8658
2013,1,Common Lisp,7247
2013,1,Arduino,6897
2013,1,Dart,6833
2013,1,Delphi,6217
2013,1,Scheme,5831
2013,1,Racket,5791
2013,1,Rust,5539
2013,1,Assembly,5497
2013,1,Visual Basic,5449
2013,1,ASP,4965
2013,1,Julia,4818
2013,1,FORTRAN,4424
2013,1,PowerShell,3913
2013,1,Prolog,3822
2013,1,ColdFusion,3519
