year,quarter,repository_language,pushes_by_lang
2012,3,Dylan,227
2012,3,Ioke,174
2012,3,Fancy,171
2012,3,Logtalk,153
2012,3,Boo,148
2012,3,Bro,140
2012,3,Turing,134
2012,3,Nu,110
2012,3,Ceylon,100
2012,3,Rebol,99
2012,3,Fantom,62
2012,3,Max,60
2012,3,Augeas,40
2012,3,Arc,18
2012,3,Mirah,16
2012,3,Max/MSP,7
2012,3,Ecl,2
2012,4,JavaScript,1071365
2012,4,Java,691538
2012,4,null,671712
2012,4,Ruby,567120
2012,4,PHP,520253
2012,4,Python,491434
2012,4,C++,301967
2012,4,C,284858
2012,4,Shell,158619
2012,4,C#,125671
2012,4,Objective-C,100005
2012,4,VimL,73669
2012,4,Perl,69991
2012,4,Scala,37694
2012,4,CoffeeScript,33834
2012,4,Haskell,30682
2012,4,Emacs Lisp,29909
2012,4,Lua,27619
2012,4,Go,25240
2012,4,Clojure,18842
2012,4,R,16830
2012,4,Groovy,15346
2012,4,ActionScript,14971
2012,4,Erlang,13593
2012,4,Puppet,11659
2012,4,Matlab,9164
2012,4,OCaml,8434
2012,4,Common Lisp,7006
2012,4,D,6525
2012,4,Arduino,5399
2012,4,Racket,5309
2012,4,Dart,5065
2012,4,Delphi,5007
2012,4,Assembly,4976
2012,4,Visual Basic,4851
2012,4,Scheme,4595
2012,4,ASP,4510
2012,4,FORTRAN,3797
2012,4,ColdFusion,3151
2012,4,HaXe,3024
2012,4,F#,3016
2012,4,PowerShell,2873
2012,4,Rust,2655
2012,4,Prolog,2462
2012,4,Julia,2332
2012,4,Verilog,2250
2012,4,VHDL,2026
2012,4,Smalltalk,1124
2012,4,Tcl,1117
2012,4,Elixir,1054
2012,4,Vala,1036
2012,4,Standard ML,1033
2012,4,OpenEdge ABL,922
2012,4,Apex,861
2012,4,AutoHotkey,813
2012,4,Coq,680
2012,4,Eiffel,575
2012,4,AppleScript,437
2012,4,Ada,434
2012,4,Objective-J,402
2012,4,Parrot,391
2012,4,SuperCollider,379
2012,4,Kotlin,358
2012,4,XQuery,350
2012,4,Logtalk,332
2012,4,Factor,329
2012,4,Pure Data,320
2012,4,ooc,271
2012,4,Boo,268
2012,4,Scilab,262
2012,4,DCPU-16 ASM,257
2012,4,Nemerle,183
2012,4,Gosu,160
2012,4,Opa,158
2012,4,Dylan,150
2012,4,Io,137
2012,4,Nu,131
2012,4,Max,94
2012,4,Rebol,90
2012,4,Nimrod,87
2012,4,Augeas,75
2012,4,Fancy,59
2012,4,Ioke,58
2012,4,Ceylon,53
2012,4,Arc,52
2012,4,Bro,44
2012,4,Ecl,37
2012,4,Turing,25
2012,4,Mirah,21
2012,4,Self,16
2012,4,Fantom,12
2012,4,eC,3
2013,1,null,1401487
2013,1,JavaScript,1334993
2013,1,Java,775759
2013,1,Ruby,619553
2013,1,PHP,582509
2013,1,Python,523368
2013,1,C++,346086
2013,1,C,307845
2013,1,Shell,193860
2013,1,Objective-C,147554
2013,1,C#,133220
2013,1,VimL,81924
2013,1,Perl,77569
2013,1,CoffeeScript,44144
2013,1,Scala,41158
2013,1,Emacs Lisp,35782
2013,1,Haskell,32919
2013,1,Lua,29918
2013,1,Go,26751
2013,1,Matlab,22302
2013,1,Clojure,21855
2013,1,R,20335
2013,1,Groovy,17307
2013,1,ActionScript,14639
2013,1,Erlang,13854
2013,1,Puppet,11922
2013,1,OCaml,7759
2013,1,D,6665
2013,1,Common Lisp,6577
2013,1,Arduino,6217
2013,1,Dart,5961
2013,1,Delphi,5634
2013,1,Scheme,5381
2013,1,Racket,5102
2013,1,Visual Basic,5083
2013,1,Assembly,4956
2013,1,ASP,4832
2013,1,Julia,3884
2013,1,FORTRAN,3819
2013,1,Prolog,3602
2013,1,PowerShell,3538
2013,1,ColdFusion,3056
2013,1,Rust,2776
2013,1,Verilog,2731
2013,1,Logos,2584
2013,1,XML,2523
2013,1,HaXe,2499
2013,1,F#,2314
2013,1,VHDL,2196
2013,1,Tcl,1778
2013,1,TypeScript,1519
2013,1,Vala,1417
2013,1,Smalltalk,1329
2013,1,Standard ML,1164
2013,1,Elixir,1152
2013,1,Haxe,1075
2013,1,Processing,928
2013,1,Lasso,831
2013,1,Factor,821
2013,1,Objective-J,809
2013,1,Ada,806
2013,1,OpenEdge ABL,806
2013,1,Coq,791
2013,1,AutoHotkey,742
2013,1,Apex,726
2013,1,ooc,606
2013,1,DOT,590
2013,1,Eiffel,547
2013,1,AppleScript,533
2013,1,XQuery,514
2013,1,Scilab,474
2013,1,Parrot,434
